Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 290,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA APLICACIÓN DEL ARTÍCULO 79A DEL ACUERDO DE CARTAGENA,19/01/1990,RES290.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES290.doc,4,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 291,APLICACION DEL ARTICULO 58 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DEL ECUADOR,2/02/1990,RES291.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES291.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 262,PRESUPUESTO DE LA JUNTA PARA EL AÑO 1990,5/03/1990,DEC262.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC262.doc,5,Decisiones
DECISIÓN N° 261,PRESUPUESTO DEL TRIBUNAL DE JUSTICIA DEL ACUERDO DE CARTAGENA PARA EL AÑO 1990,5/03/1990,DEC261.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC261.doc,4,Decisiones
DECISIÓN N° 260,SUSTITUCIÓN DE LOS GRAVÁMENES DEL ARANCEL EXTERNO MÍNIMO COMÚN,5/03/1990,DEC260.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC260.doc,2,Decisiones
DECISIÓN N° 259,PROGRAMA DE INTEGRACIÓN INDUSTRIAL A FAVOR DEL ECUADOR,5/03/1990,DEC259.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC259.doc,4,Decisiones
DECISIÓN N° 258,INSTRUMENTACIÓN DEL DISEÑO ESTRATÉGICO EN EL SECTOR COMERCIO,5/03/1990,DEC258.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC258.doc,2,Decisiones
RESOLUCIÓN N° 293,SOLICITUD DE RECONSIDERACIÓN DE LA RESOLUCIÓN 290,22/03/1990,RES293.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES293.doc,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 292,SOLICITUD DEL GOBIERNO DEL PERU RESPECTO A LA PRORROGA DEL PLAZO PARA PONER EN VIGENCIA LA NOMENCLATURA ARANCELARIA COMUN DE LOS PAISES MIEMBROS DEL ACUERDO DE CARTAGENA - NANDINA,22/03/1990,RES292.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES292.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 294,VERIFICACION DE PRODUCCION DE LOS PRODUCTOS COMPRENDIDOS EN EL PROGRAMA DE INTEGRACION INDUSTRIAL APROBADO MEDIANTE DECISION 259,2/05/1990,RES294.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES294.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 264,POSICIÓN CONJUNTA EN ALADI,4/05/1990,DEC264.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC264.doc,1,Decisiones
RESOLUCIÓN N° 295,SOLICITUD DEL GOBIERNO DE ECUADOR SOBRE LA MODIFICACION DE ALGUNOS REQUISITOS ESPECIFICOS DE ORIGEN,9/05/1990,RES295.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES295.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 263,REDUCCIÓN DE LA NÓMINA DE PRODUCTOS RESERVADOS PARA APLICAR MODALIDADES DE INTEGRACIÓN INDUSTRIAL,31/05/1990,DEC263.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC263.doc,25,Decisiones
DECISIÓN N° 267,PRÓRROGA DEL PLAZO PARA PONER EN VIGENCIA LA NOMENCLATURA ARANCELARIA COMÚN - NANDINA ,4/06/1990,DEC267.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC267.doc,2,Decisiones
DECISIÓN N° 266,INCLUSIÓN DE LA CORPORACIÓN INTERAMERICANA DE INVERSIONES EN LA NÓMINA DE ENTIDADES CON OPCIÓN AL TRATAMIENTO DE CAPITAL NEUTRO PARA SUS INVERSIONES,4/06/1990,DEC266.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC266.doc,2,Decisiones
DECISIÓN N° 265,PROGRAMA DE INTEGRACIÓN INDUSTRIAL A FAVOR DE BOLIVIA Y ACCIONES DE APOYO PARA BOLIVIA Y ECUADOR,4/06/1990,DEC265.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC265.doc,3,Decisiones
DECISIÓN N° 268,PROGRAMA DE LIBERACIÓN Y ARANCEL EXTERNO MÍNIMO COMÚN DE LOS PRODUCTOS EXCLUIDOS DE LA NÓMINA DE RESERVA Y DE LAS DECISIONES 28 Y CONEXAS,14/06/1990,DEC268.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC268.doc,2,Decisiones
RESOLUCIÓN N° 296,"SOLICITUD DEL GOBIERNO DEL ECUADOR PARA LA APLICACION DE MEDIDAS CORRECTIVAS PAREVISTAS EN LA DECISION 230, A LAS IMPORTACIONES DE SORBITOL QUE SE REALIZAN EN VENEZUELA PROCEDENTES DE FRANCIA",25/06/1990,RES296.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES296.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 298,"ACTUALIZACION DE LA NOMINA DE PRODUCTOS NO PRODUCIDOS PARA EFECTOS DE LA APLICACION DEL ARTICULO 65 DEL ACUERDO, EN LO QUE SE REFIERE A ARANCEL EXTERNO MINIMO COMUN",16/10/1990,RES298.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES298.pdf,17,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 297,VERIFICACIÓN DE PRODUCCIÓN DE LOS PRODUCTOS COMPRENDIDOS EN EL PROGRAMA DE INTEGRACIÓN INDUSTRIAL APROBADO MEDIANTE DECISIÓN 259,16/10/1990,RES297.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES297.doc,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 272,ADHESIÓN DE BOLIVIA Y VENEZUELA AL ACUERDO GENERAL SOBRE ARANCELES ADUANEROS Y COMERCIO,31/10/1990,DEC272.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC272.doc,1,Decisiones
DECISIÓN N° 271,SISTEMA ANDINO DE CARRETERAS,31/10/1990,DEC271.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC271.doc,8,Decisiones
DECISIÓN N° 270,PUNTO INICIAL DE DESGRAVACIÓN DEL ECUADOR PARA LOS PRODUCTOS EXCLUIDOS DE LA NÓMINA DE RESERVA,31/10/1990,DEC270.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC270.doc,2,Decisiones
DECISIÓN N° 269,DESIGNACIÓN DE MIEMBRO DE LA JUNTA,31/10/1990,DEC269.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC269.doc,1,Decisiones
DECISIÓN N° 277,MODIFICACIÓN DE LA DECISIÓN 271. SISTEMA ANDINO DE CARRETERAS,21/12/1990,DEC277.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC277.doc,1,Decisiones
DECISIÓN N° 276,EXTENSIÓN DEL II PROGRAMA ANDINO DE LA ROYA Y LA BROCA DEL CAFÉ,21/12/1990,DEC276.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC276.doc,4,Decisiones
DECISIÓN N° 275,SUSPENSIÓN DEL ARTÍCULO 83 DE LA DECISIÓN 85,21/12/1990,DEC275.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC275.doc,1,Decisiones
DECISIÓN N° 274,"APLICACIÓN POR PARTE DEL ECUADOR DEL AEMC PARA LAS NÓMINAS DE PRODUCTOS DE INTERÉS DE COLOMBIA, PERÚ Y VENEZUELA",21/12/1990,DEC274.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC274.doc,2,Decisiones
DECISIÓN N° 273,MODIFICACIÓN DE LOS NIVELES DEL ARANCEL EXTERNO MÍNIMO COMÚN,21/12/1990,DEC273.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC273.doc,2,Decisiones
DECISIÓN N° 278,PUNTO INICIAL DE DESGRAVACIÓN DE BOLIVIA,28/12/1990,DEC278.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC278.doc,1,Decisiones
