Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 360,PRECIOS PISO Y TECHO Y TABLAS ADUANERAS DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA EL PERIODO ABRIL DE 1995-MARZO DE 1996,2/02/1995,RES360.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES360.pdf,48,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 363,"CALIFICACIÓN DE LA CUOTA DE FOMENTO A LA IMPORTACIÓN EN COLOMBIA DE DIVERSOS PRODUCTOS COMO GRAVAMEN, PARA LOS EFECTOS DEL PROGRAMA DE LIBERACIÓN",20/02/1995,RES363.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES363.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 362,EXCLUSIÓN DE PRODUCTOS DE LA NÓMINA DE PRODUCTOS NO PRODUCIDOS PARA EFECTOS DE LA APLICACIÓN DEL ARTÍCULO 65 DEL ACUERDO,20/02/1995,RES362.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES362.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 361,INCLUSIÓN DE PRODUCTOS EN LA NÓMINA DE PRODUCTOS NO PRODUCIDOS PARA EFECTOS DE LA APLICACIÓN DEL ARTÍCULO 65 DEL ACUERDO,20/02/1995,RES361.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES361.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 364,CRITERIOS Y PROCEDIMIENTOS PARA LOS DIFERIMIENTOS AL ARANCEL EXTERNO COMÚN DESTINADOS A ATENDER SITUACIONES  DE EMERGENCIA NACIONAL,21/02/1995,RES364.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES364.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 365,"SOLICITUD DE RECONSIDERACIÓN DE LA RESOLUCIÓN 354 DE LA JUNTA SOBRE LA INVESTIGACIÓN RELATIVA A LA SUSPENSIÓN TEMPORAL DE LA EXPEDICIÓN DE PERMISOS SANITARIOS PARA LA IMPORTACIÓN A COLOMBIA DE POLLITOS DE UN DÍA, HUEVOS FÉRTILES, HUEVOS COMERCIALES, AVES",20/03/1995,RES365.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES365.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 375,APLICACIÓN DE PRECIOS DE REFERENCIA,28/03/1995,DEC375.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC375.doc,2,Decisiones
DECISIÓN N° 374,MODIFICACIONES A LA NANDINA,28/03/1995,DEC374.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC374.doc,6,Decisiones
DECISIÓN N° 373,DESIGNACIÓN DE MIEMBRO DE LA JUNTA,28/03/1995,DEC373.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC373.doc,1,Decisiones
DECISIÓN N° 372,DESIGNACIÓN DE MIEMBRO DE LA JUNTA,28/03/1995,DEC372.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC372.doc,1,Decisiones
