Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 173,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA VARIOS PRODUCTOS,8/01/1981,RES173.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES173.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 174,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA AGROSTEMIN,15/01/1981,RES174.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES174.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 175,SOLICITUD DEL GOBIERNO DEL PERU RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA VARIOS PRODUCTOS,31/01/1981,RES175.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES175.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 177,APLICACION DEL ARTICULO 58 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DE BOLIVIA,9/02/1981,RES177.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES177.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 176,APLICACION DEL ARTICULO 58 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DE BOLIVIA,9/02/1981,RES176.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES176.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 178,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA VARIOS PRODUCTOS,16/02/1981,RES178.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES178.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 179,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA AVENA Y SORGO,30/03/1981,RES179.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES179.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 180,APLICACION DEL ARTICULO 58 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DEL ECUADOR,15/05/1981,RES180.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES180.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 181,NOTIFICACION DE VERIFICACION DE PRODUCCION DE PRODUCTOS COMPRENDIDOS EN EL PROGRAMA SECTORIAL DE DESARROLLO INDUSTRIAL DEL SECTOR METALMECANICO,4/06/1981,RES181.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES181.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 185,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA ENVASES DE ALUMINIO PARA EL ENLATADO DE CERVEZA,22/06/1981,RES185.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES185.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 184,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA HIDROXIDO DE SODIO (SOSA CAUSTICA),22/06/1981,RES184.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES184.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 183,SOLICITUD DEL GOBIERNO DE COLOMBIA RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA VARIOS PRODUCTOS,22/06/1981,RES183.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES183.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 182,REQUISITOS ESPECÍFICOS DE ORIGEN PARA CIERRES DE CREMALLERA,22/06/1981,RES182.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES182.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 186,"SUSPENSION DE LA OBLIGACION DE INCORPORAR MOTOCOMPRESORES HERMETICOS SUBREGIONALES DE 1/3 HP PARA 110 A 120 VOLTIOS DE 1200 BTU/hr O MAS, EN LA PRODUCCION DE REFRIGERADORES ELECTRICOS DE USO DOMESTICO",22/09/1981,RES186.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES186.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 187,"SUSPENSION DE LA OBLIGACION DE INCORPORAR VALVULAS QUE SE UTILICEN PARA EL ENCENDIDO ELECTRONICO, DE PRODUCCION SUBREGIONAL, EN LAS COCINAS NO ELECTRICAS PARA USO DOMESTICO",16/10/1981,RES187.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES187.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 164,APRUEBA SEGUNDA ETAPA DEL PROGRAMA DE TELEVISIÓN ANDINO,31/10/1981,DEC164.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC164.doc,2,Decisiones
RESOLUCIÓN N° 188,"SUSPENSION DE LA OBLIGACION DE INCORPORAR MOTOCOMPRESORES HERMETICOS PARA TENSION DE 220 VOLTIOS, DE CUALQUIER POTENCIA, EN FRIGERADORES ELECTRICOS DE USO DOMESTICO",6/11/1981,RES188.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES188.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 166,CREACIÓN DEL CONSEJO DE ASUNTOS ADUANEROS,9/12/1981,DEC166.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC166.doc,1,Decisiones
