Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
DECISIÓN N° 036,CREACIÓN DEL CONSEJO DE TURISMO,10/03/1971,DEC036.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC036.doc,1,Decisiones
DECISIÓN N° 035,CREACIÓN DE UN GRUPO DE TRABAJO INTEGRADO POR REPRESENTANTES DE LOS PAÍSES MIEMBROS Y DE VENEZUELA,10/03/1971,DEC035.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC035.doc,1,Decisiones
DECISIÓN N° 034,MÁRGENES DE PREFERENCIA PARA BOLIVIA Y EL ECUADOR,10/03/1971,DEC034.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC034.doc,6,Decisiones
DECISIÓN N° 033,ARANCEL EXTERNO MÍNIMO COMÚN. CUMPLIMIENTO DE LO DISPUESTO EN EL ARTÍCULO 2 DE LA DECISIÓN 30 DE LA COMISIÓN,10/03/1971,DEC033.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC033.doc,1,Decisiones
DECISIÓN N° 032,INDUSTRIA PETROQUÍMICA,10/03/1971,DEC032.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC032.doc,1,Decisiones
DECISIÓN N° 031,ELABORACIÓN DE LA NABANDINA,10/03/1971,DEC031.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC031.doc,1,Decisiones
RESOLUCIÓN N° 001,REQUISITOS ESPECÍFICOS DE ORIGEN,26/04/1971,RES001.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES001.pdf,8,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 037,"AJUSTES AL RÉGIMEN COMÚN DE TRATAMIENTO A LOS CAPITALES EXTRANJEROS Y SOBRE MARCAS, PATENTES, LICENCIAS Y REGALÍAS",24/06/1971,DEC037.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC037.doc,2,Decisiones
DECISIÓN N° 039,CREACIÓN DEL CONSEJO DE ASUNTOS SOCIALES,17/07/1971,DEC039.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC039.doc,1,Decisiones
DECISIÓN N° 038,AJUSTES EN EL ANEXO A LA DECISIÓN 27,17/07/1971,DEC038.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC038.doc,2,Decisiones
DECISIÓN N° 037A,MODIFICACION DEL ARTICULO 1 A LA DECISION 037,17/07/1971,DEC037A.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC037A.doc,1,Decisiones
DECISIÓN N° 017A,AJUSTES AL REGLAMENTO DEL COMITE ASESOR ECONOMICO Y SOCIAL,17/07/1971,DEC17A.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC17A.doc,2,Decisiones
RESOLUCIÓN N° 002,"MODIFICA ANEXO DE LA RESOLUCION 1, COCINAS NO ELECTRICAS, PARA USO DOMESTICO",15/09/1971,RES002.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES002.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 042,INCORPORACIÓN DE VENEZUELA AL ACUERDO DE CARTAGENA,16/11/1971,DEC042.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC042.doc,1,Decisiones
DECISIÓN N° 041,AJUSTES AL PROGRAMA DE LIBERACIÓN,16/11/1971,DEC041.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC041.doc,1,Decisiones
DECISIÓN N° 040,APROBACIÓN DEL CONVENIO PARA EVITAR LA DOBLE TRIBUTACIÓN ENTRE LOS PAÍSES MIEMBROS Y DEL CONVENIO TIPO PARA LA CELEBRACIÓN DE ACUERDOS SOBRE DOBLE TRIBUTACIÓN ENTRE LOS PAÍSES MIEMBROS Y OTROS ESTADOS AJENOS A LA SUBREGIÓN.,16/11/1971,DEC040.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC040.doc,18,Decisiones
DECISIÓN N° 049,DIRECTIVAS PARA LA ARMONIZACIÓN DE LAS LEGISLACIONES SOBRE FOMENTO INDUSTRIAL,18/12/1971,DEC049.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC049.doc,9,Decisiones
DECISIÓN N° 048,NORMAS APLICABLES A LAS INVERSIONES QUE REALICE LA CORPORACIÓN ANDINA DE FOMENTO EN CUALQUIERA DE LOS PAÍSES MIEMBROS,18/12/1971,DEC048.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC048.doc,1,Decisiones
DECISIÓN N° 047,PORCENTAJE MÍNIMO DE PARTICIPACIÓN DEL ESTADO O EMPRESAS DEL ESTADO EN EMPRESAS MIXTAS,18/12/1971,DEC047.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC047.doc,1,Decisiones
DECISIÓN N° 046,RÉGIMEN UNIFORME DE LA EMPRESA MULTINACIONAL Y REGLAMENTO DEL TRATAMIENTO APLICABLE AL CAPITAL SUBREGIONAL,18/12/1971,DEC046.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC046.doc,12,Decisiones
DECISIÓN N° 045,NORMAS PARA PREVENIR O CORREGIR LAS PRÁCTICAS QUE PUEDAN DISTORSIONAR LA COMPETENCIA DENTRO DE LA SUBREGIÓN,18/12/1971,DEC045.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC045.doc,4,Decisiones
DECISIÓN N° 044,PRESUPUESTO PARA EL AÑO 1972,18/12/1971,DEC044.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC044.doc,2,Decisiones
DECISIÓN N° 043,PRIMERAS MEDIDAS PARA INCREMENTAR EL COMERCIO DE PRODUCTOS AGROPECUARIOS,18/12/1971,DEC043.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC043.doc,4,Decisiones
