Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
DECISIÓN N° 208,PRESUPUESTO DEL TRIBUNAL DE JUSTICIA DEL ACUERDO DE CARTAGENA PARA EL AÑO 1986,6/01/1986,DEC208.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC208.doc,5,Decisiones
DECISIÓN N° 207,PRESUPUESTO DE LA JUNTA PARA EL AÑO 1986,6/01/1986,DEC207.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC207.doc,4,Decisiones
RESOLUCIÓN N° 251,APLICACION DEL ARTICULO 58 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DEL ECUADOR,31/01/1986,RES251.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES251.pdf,4,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 250,DEROGACION DE LA RESOLUCION 237,31/01/1986,RES250.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES250.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 254,DECLARACIÓN DE QUE NO HA LUGAR LA APLICACIÓN DEL ARTÍCULO 80 DEL ACUERDO DE CARTAGENA A LAS IMPORTACIONES DE PRODUCTOS ORIGINARIOS DEL PERÚ,16/04/1986,RES254.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES254.doc,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 253,APLICACIÓN DEL ARTÍCULO 80 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DE COLOMBIA,16/04/1986,RES253.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES253.doc,4,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 252,APLICACIÓN DEL ARTÍCULO 80 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DE COLOMBIA,16/04/1986,RES252.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES252.doc,4,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 209,CREACIÓN DEL SISTEMA SUBREGIONAL DE COORDINACIÓN DE LA PEQUEÑA Y MEDIANA INDUSTRIA,18/06/1986,DEC209.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC209.doc,3,Decisiones
RESOLUCIÓN N° 255,"SE EXCLUYEN DE LA RESOLUCION 93 LOS TELARES RECTILINEOS PARA TEJIDOS DE PUNTO, DE USO DOMESTICO, PROVISTOS DE SELECCIONADOR AUTOMATICO DE LAS AGUJAS",19/06/1986,RES255.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES255.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 257,SUSPENSION DE REQUISITOS ESPECIFICOS DE ORIGEN FIJADOS POR LA RESOLUCION 227 PARA MAQUINAS DE COSER DE USO DOMESTICO,26/06/1986,RES257.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES257.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
