Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
DECISIÓN N° 051,APROBACIÓN DE LA NABANDINA,18/03/1972,DEC051.pdf,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC051.pdf,417,Decisiones
DECISIÓN N° 050,INTERNACIÓN TEMPORAL DE VEHÍCULOS DE USO PRIVADO,18/03/1972,DEC050.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC050.doc,4,Decisiones
RESOLUCIÓN N° 003,"SOLICITUD DEL GOBIERNO DE CHILE RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA VARIOS PRODUCTOS, ARTICULO 67 DEL ACUERDO",20/04/1972,RES003.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES003.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 004,"SOLICITUD DEL GOBIERNO DE CHILE RESPECTO A LA SUSPENSION DEL ARANCEL EXTERNO MINIMO COMUN PARA AZUCAR CRUDO, ARTICULO 67 DEL ACUERDO",23/06/1972,RES004.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES004.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 057,PROGRAMA SECTORIAL DE DESARROLLO INDUSTRIAL DEL SECTOR METALMECÁNICO,20/08/1972,DEC057.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC057.doc,1,Decisiones
DECISIÓN N° 056,TRANSPORTE INTERNACIONAL POR CARRETERA,20/08/1972,DEC056.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC056.doc,20,Decisiones
DECISIÓN N° 055,MODIFICA REGLAMENTO DEL COMITE ASESOR ECONOMICO Y SOCIAL,20/08/1972,DEC055.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC055.doc,1,Decisiones
DECISIÓN N° 054,REDUCCIÓN DE COSTOS DE TRANSPORTE QUE AFECTAN A BOLIVIA,20/08/1972,DEC054.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC054.doc,1,Decisiones
DECISIÓN N° 053,MODIFICACIÓN AL ARTÍCULO 5 DE LA DECISIÓN 22,20/08/1972,DEC053.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC053.doc,1,Decisiones
DECISIÓN N° 052,PRESUPUESTO PARA EL AÑO 1973,20/08/1972,DEC052.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC052.doc,2,Decisiones
RESOLUCIÓN N° 005,EXCLUYE PRODUCTOS DE LA NOMINA DE RESERVA PARA PSDI,23/08/1972,RES005.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES005.pdf,5,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 006,SOLICITUD DEL GOBIERNO DE COLOMBIA PARA LA SUSPENSION DEL AEMC PARA IMPORTACION DE LANA Y TABACO,1/09/1972,RES006.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES006.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 007,EXCLUSION DE PRODUCTOS DE LA NOMINA DE PRODUCTOS RESERVADOS PARA PROGRAMAS DE DESARROLLO INDUSTRIAL DE LA DECISION 25,4/09/1972,RES007.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES007.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 066,"LISTA DE PRODUCTOS AGROPECUARIOS PARA LOS EFECTOS DE LA APLICACIÓN DE LOS ARTÍCULOS 72, 73 Y 99 DEL ACUERDO, EXPRESADA EN TÉRMINOS DE LA NABANDINA",9/09/1972,DEC066.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC066.doc,6,Decisiones
DECISIÓN N° 065,"MÁRGENES DE PREFERENCIA PARA BOLIVIA Y EL ECUADOR, EXPRESADOS EN TÉRMINOS DE LA NABANDINA",9/09/1972,DEC065.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC065.doc,5,Decisiones
DECISIÓN N° 064,PROGRAMA DE LIBERACIÓN Y ARANCEL EXTERNO MÍNIMO COMÚN PARA LOS PRODUCTOS DE LA DECISIÓN 61,9/09/1972,DEC064.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC064.doc,2,Decisiones
DECISIÓN N° 063,"NÓMINA DE PRODUCTOS QUE SE LIBERARON EN FAVOR DE BOLIVIA Y EL ECUADOR, EXPRESADA EN TÉRMINOS DE LA NABANDINA",9/09/1972,DEC063.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC063.doc,9,Decisiones
DECISIÓN N° 062,"NÓMINA DE PRODUCTOS QUE NO SE PRODUCEN EN NINGÚN PAÍS DE LA SUBREGIÓN Y QUE NO HAN SIDO RESERVADOS PARA PROGRAMAS SECTORIALES DE DESARROLLO INDUSTRIAL, QUE SE RESERVARON PARA SER PRODUCIDOS EN BOLIVIA Y EL ECUADOR, EXPRESADA EN TÉRMINOS DE LA NABANDINA",9/09/1972,DEC062.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC062.doc,9,Decisiones
DECISIÓN N° 061,"NÓMINA DE PRODUCTOS NO COMPRENDIDOS EN LOS ARTÍCULOS 47, 49 Y 50 DEL ACUERDO DE CARTAGENA, EXPRESADA EN TÉRMINOS DE LA NABANDINA",9/09/1972,DEC061.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC061.doc,41,Decisiones
DECISIÓN N° 060,"NÓMINA DE PRODUCTOS QUE NO SE PRODUCEN EN NINGÚN PAÍS DE LA SUBREGIÓN Y QUE NO HAN SIDO RESERVADOS PARA PROGRAMAS SECTORIALES DE DESARROLLO INDUSTRIAL, EXPRESADA EN TÉRMINOS DE LA NABANDINA",9/09/1972,DEC060.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC060.doc,11,Decisiones
DECISIÓN N° 059,NÓMINA DE PRODUCTOS RESERVADOS PARA PROGRAMAS SECTORIALES DE DESARROLLO INDUSTRIAL EXPRESADA EN TÉRMINOS DE LA NABANDINA,9/09/1972,DEC059.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC059.doc,34,Decisiones
DECISIÓN N° 058,MODIFICACIONES A LA NABANDINA,9/09/1972,DEC058.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC058.doc,51,Decisiones
DECISIÓN N° 057A,MODIFICACION A LA DECISION 057,9/09/1972,DEC057A.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC057A.doc,7,Decisiones
DECISIÓN N° 067,DESIGNA MIEMBROS DE LA JUNTA,7/10/1972,DEC067.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC067.doc,1,Decisiones
DECISIÓN N° 069,REGLAMENTO DEL RÉGIMEN DE INTERNACIÓN TEMPORAL DE VEHÍCULOS DE USO PRIVADO,17/11/1972,DEC069.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC069.doc,15,Decisiones
DECISIÓN N° 068,CREACIÓN DEL CONSEJO DE SALUD,17/11/1972,DEC068.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC068.doc,1,Decisiones
DECISIÓN N° 049A,MODIFICACION DEL ARTICULO 22 DE LA DECISION 049,17/11/1972,DEC049A.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC049A.doc,1,Decisiones
