Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 990,"PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE ENERO DE 2006, CORRESPONDIENTES A LA CIRCULAR N° 260 DEL 5 DE ENERO DE 2006",9/01/2006,RESo990.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo990.doc,3,Resoluciones
DICTAMEN N° 01-2006,"MARÍA CONSUELO VARGAS DE ROSERO – REPÚBLICA DE COLOMBIA. DENUNCIA POR POSIBLE INCUMPLIMIENTO DE LA REPÚBLICA DE COLOMBIA DE LO DISPUESTO EN LA DECISIÓN 515, LA RESOLUCIÓN 431 DE LA JUNTA DEL ACUERDO DE CARTAGENA Y LA RESOLUCIÓN 654 DE LA SECRETARÍA GENERAL, AL EXIGIR REQUISITOS ADICIONALES A LOS ESTABLECIDOS EN LA NORMATIVA ANDINA PARA LA IMPORTACIÓN DE PLÁTANO FRESCO PROCEDENTE DE ECUADOR.",20/01/2006,DICtamen01-2006.doc,https://www.comunidadandina.org/DocOficialesFiles/Dictamenes/DICtamen01-2006.doc,5,Dictámenes
RESOLUCIÓN N° 992,SOLICITUD DEL GOBIERNO DE COLOMBIA PARA EL DIFERIMIENTO ARANCELARIO PARA ALGUNOS BIENES DEL SECTOR AGRÍCOLA,20/01/2006,RESo992.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo992.doc,3,Resoluciones
RESOLUCIÓN N° 991,"PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA PRIMERA QUINCENA DE FEBRERO DE 2006, CORRESPONDIENTES A LA CIRCULAR N° 261 DEL 18 DE ENERO DE 2006",20/01/2006,RESo991.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo991.doc,3,Resoluciones
DECISIÓN N° 627,MODIFICACIÓN DEL PLAZO DE ENTRADA EN VIGENCIA DE LA DECISIÓN 572 SOBRE EL ARANCEL INTEGRADO ANDINO (ARIAN) Y MODIFICATORIA DE LA DECISIÓN 611,27/01/2006,DEC627.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC627.doc,2,Decisiones
DECISIÓN N° 631,PRESUPUESTO DEL TRIBUNAL DE JUSTICIA DE LA COMUNIDAD ANDINA PARA EL AÑO 2006,31/01/2006,DEC631.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC631.doc,3,Decisiones
DECISIÓN N° 630,PRESUPUESTO DE LA SECRETARÍA GENERAL PARA EL AÑO 2006,31/01/2006,DEC630.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC630.doc,3,Decisiones
DECISIÓN N° 629,SUSPENSIÓN TEMPORAL DE LA OBLIGACIÓN PREVISTA EN EL ÚLTIMO PÁRRAFO DEL ARTÍCULO 15 DE LA DECISIÓN 439 PARA LA LIBERALIZACIÓN DE LOS SERVICIOS,31/01/2006,DEC629.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC629.doc,2,Decisiones
DECISIÓN N° 628,MODIFICACIÓN DE LA DECISIÓN 626,31/01/2006,DEC628.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC628.doc,4,Decisiones
RESOLUCIÓN N° 993,"SOLICITUD, AL AMPARO DE LO DISPUESTO EN EL ARTÍCULO 97 DEL ACUERDO DE CARTAGENA, PARA LA APLICACIÓN DE MEDIDAS CORRECTIVAS POR PARTE DEL GOBIERNO DE ECUADOR A LAS IMPORTACIONES DE PRODUC-TOS DE LA CADENA OLEAGINOSA ORIGINARIAS DE LOS PAÍSES MIEMBROS DE LA COMUNIDAD ANDINA",3/02/2006,RESo993.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo993.doc,8,Resoluciones
RESOLUCIÓN N° 995,"PRECIOS DE REFERENCIA DEL SISTEMA ANDINO DE FRANJAS DE PRECIOS PARA LA SEGUNDA QUINCENA DE FEBRERO DE 2006, CORRESPONDIENTES A LA CIRCULAR N° 262 DEL 3 DE FEBRERO DE 2006",6/02/2006,RESo995.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo995.doc,3,Resoluciones
RESOLUCIÓN N° 994,"SOLICITUD DEL GOBIERNO DE ECUADOR PARA PRORROGAR EL DIFERIMIENTO DEL ARANCEL EXTERNO COMÚN DEL “ALGODÓN SIN CARDAR NI PEINAR”, CORRESPONDIENTE A LA SUBPARTIDA NANDINA 5201.00.00",6/02/2006,RESo994.doc,https://www.comunidadandina.org/DocOficialesFiles/resoluciones/RESo994.doc,3,Resoluciones
