Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 269,PRÓRROGA DEL PLAZO PREVISTO POR EL LITERAL B) DEL ARTÍCULO 1 DE LA RESOLUCIÓN 253,13/02/1987,RES269.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES269.doc,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 215,AMPLIACIÓN DE LOS PLAZOS A QUE SE REFIEREN LOS ARTÍCULOS 2 DE LA DECISIÓN 203 Y 4 DE LA DECISIÓN 137,6/03/1987,DEC215.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC215.doc,1,Decisiones
DECISIÓN N° 214,AMPLIACIÓN DEL PLAZO A QUE SE REFIERE EL ARTÍCULO 1 DE LA DECISIÓN 203,6/03/1987,DEC214.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC214.doc,1,Decisiones
DECISIÓN N° 213,"ESTRUCTURA, OBJETIVOS Y FUNCIONAMIENTO DEL CONSEJO ANDINO DE CIENCIA Y TECNOLOGÍA",6/03/1987,DEC213.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC213.doc,3,Decisiones
DECISIÓN N° 212,AMPLIACIÓN DE LOS PLAZOS ESTABLECIDOS EN LA DECISIÓN 181,6/03/1987,DEC212.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC212.doc,1,Decisiones
DECISIÓN N° 211,PRESUPUESTO DEL TRIBUNAL DE JUSTICIA DEL ACUERDO DE CARTAGENA PARA EL AÑO 1987,6/03/1987,DEC211.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC211.doc,2,Decisiones
DECISIÓN N° 210,PRESUPUESTO DE LA JUNTA PARA EL AÑO 1987,6/03/1987,DEC210.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC210.doc,2,Decisiones
DECISIÓN N° 227,APLICACIÓN DEL ARTÍCULO 100 DEL ACUERDO DE CARTAGENA POR PARTE DE BOLIVIA,18/05/1987,DEC227.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC227.doc,2,Decisiones
DECISIÓN N° 226,REGLAMENTACIÓN DEL INCISO TERCERO DEL ARTÍCULO 79 DEL ACUERDO,18/05/1987,DEC226.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC226.doc,2,Decisiones
DECISIÓN N° 225,PROGRAMA DE TRANSICIÓN,18/05/1987,DEC225.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC225.doc,3,Decisiones
