Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 077,"RETIRO DE PRODUCTOS DE LA NOMINA DE PRODUCTOS RESPECTO DE LOS CUALES NO EXISTE PRODUCCION EN LA SUBREGION, PARA LOS EFECTOS DE LA APLICACION DEL ARTICULO 65 DEL ACUERDO",7/02/1977,RES077.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES077.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 078,AMPLIACION DE LA AUTORIZACION AL GOBIERNO DE COLOMBIA CONTENIDA EN LA RESOLUCION 69,8/02/1977,RES078.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES078.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 079,APLICACIION DEL ARTICULO 58 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DE BOLIVIA,16/02/1977,RES079.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES079.pdf,2,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 117,CODIFICACIÓN DEL ACUERDO DE CARTAGENA,17/02/1977,DEC117.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC117.doc,1,Decisiones
DECISIÓN N° 116,INSTRUMENTO ANDINO DE MIGRACIÓN LABORAL,17/02/1977,DEC116.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC116.doc,7,Decisiones
DECISIÓN N° 115,SISTEMA SUBREGIONAL DE INFORMACIÓN ESTADÍSTICA,17/02/1977,DEC115.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC115.doc,6,Decisiones
DECISIÓN N° 114,PROGRAMA DE ARMONIZACIÓN DE CUENTAS NACIONALES,17/02/1977,DEC114.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC114.doc,3,Decisiones
DECISIÓN N° 113,INSTRUMENTO ANDINO DE SEGURIDAD SOCIAL,17/02/1977,DEC113.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC113.doc,9,Decisiones
DECISIÓN N° 112,MODIFICACIONES A LOS MÁRGENES DE PREFERENCIA PARA BOLIVIA Y EL ECUADOR,17/02/1977,DEC112.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC112.doc,1,Decisiones
DECISIÓN N° 111,AMPLIACIÓN DEL ANEXO DE LA DECISIÓN 104,17/02/1977,DEC111.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC111.doc,1,Decisiones
