Nomenclatura,Título,Fecha de publicación,Documento,URL Documento,Cantidad de páginas,Tipo documento
RESOLUCIÓN N° 274,APLICACIÓN DEL ARTÍCULO 79 DEL ACUERDO DE CARTAGENA A SOLICITUD DEL GOBIERNO DE COLOMBIA,3/02/1988,RES274.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES274.doc,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 276,"APLICACIÓN DEL INCISO TERCERO DEL ARTÍCULO 79 DEL ACUERDO DE CARTAGENA, A SOLICITUD DEL GOBIERNO DE COLOMBIA",29/02/1988,RES276.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES276.doc,4,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 275,"APLICACIÓN DEL INCISO TERCERO DEL ARTÍCULO 79 DEL ACUERDO DE CARTAGENA, A SOLICITUD DEL GOBIERNO DE COLOMBIA",29/02/1988,RES275.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES275.doc,5,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 278,"APLICACIÓN DEL INCISO TERCERO DEL ARTÍCULO 79 DEL ACUERDO, DE CARTAGENA, A SOLICITUD DEL GOBIERNO DEL PERÚ",8/04/1988,RES278.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES278.doc,6,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 277,"APLICACIÓN DEL INCISO TERCERO DEL ARTÍCULO 79 DEL ACUERDO DE CARTAGENA, A SOLICITUD DEL GOBIERNO DEL PERÚ",8/04/1988,RES277.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES277.doc,5,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 282,APLICACIÓN CAPÍTULO IX DEL ACUERDO DE CARTAGENA,25/05/1988,RES282.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES282.doc,2,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 281,APLICACIÓN CLÁUSULA DE SALVAGUARDIA ARTÍCULO 79 DEL ACUERDO DE CARTAGENA EN FAVOR DE COLOMBIA,25/05/1988,RES281.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES281.doc,5,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 280,APLICACIÓN CLÁUSULA DE SALVAGUARDIA ARTÍCULO 79 DEL ACUERDO DE CARTAGENA EN FAVOR DE VENEZUELA,25/05/1988,RES280.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES280.doc,32,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 279,APLICACIÓN CLÁUSULA DE SALVAGUARDIA ARTÍCULO 79 DEL ACUERDO DE CARTAGENA EN FAVOR DE PERÚ,25/05/1988,RES279.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES279.doc,4,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 239,RECONOCIMIENTO DE LA CONFEDERACIÓN DE ABOGADOS DE LOS PAÍSES ANDINOS COMO ORGANO SUBSIDIARIO DEL ACUERDO,26/07/1988,DEC239.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC239.doc,2,Decisiones
DECISIÓN N° 238,II PROGRAMA SUBREGIONAL ANDINO CONTRA LA SIGATOKA NEGRA DEL BANANO Y EL PLÁTANO,26/07/1988,DEC238.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC238.doc,4,Decisiones
DECISIÓN N° 237,"DEROGACIÓN DE LAS DECISIONES 8, 10, 139 Y 140",26/07/1988,DEC237.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC237.doc,1,Decisiones
DECISIÓN N° 236,CODIFICACIÓN DEL ACUERDO DE CARTAGENA,26/07/1988,DEC236.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC236.doc,43,Decisiones
DECISIÓN N° 240,PRÓRROGA DEL MANDATO DE LOS MIEMBROS DE LA JUNTA DEL ACUERDO DE CARTAGENA,1/09/1988,DEC240.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC240.doc,1,Decisiones
DECISIÓN N° 242,DESIGNACIÓN DE MIEMBRO DE LA JUNTA DEL ACUERDO DE CARTAGENA,28/10/1988,DEC242.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC242.doc,1,Decisiones
DECISIÓN N° 241,PRÓRROGA DEL MANDATO DE LOS MIEMBROS DE LA JUNTA DEL ACUERDO DE CARTAGENA,28/10/1988,DEC241.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC241.doc,1,Decisiones
RESOLUCIÓN N° 284,REQUISITO ESPECÍFICO DE ORIGEN PARA PRODUCTOS DERIVADOS DEL PETRÓLEO,16/12/1988,RES284.doc,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES284.doc,3,Resoluciones de la Junta del Acuerdo de Cartagena
RESOLUCIÓN N° 283,APLICACION DE LA CLAUSULA DE SALVAGUARDIA DEL ARTICULO 79 DEL ACUERDO DE CARTAGENA,16/12/1988,RES283.pdf,https://www.comunidadandina.org/DocOficialesFiles/ResolucionesJunta/RES283.pdf,3,Resoluciones de la Junta del Acuerdo de Cartagena
DECISIÓN N° 246,PRESUPUESTO DEL TRIBUNAL DE JUSTICIA DEL ACUERDO DE CARTAGENA PARA EL AÑO 1989,27/12/1988,DEC246.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC246.doc,4,Decisiones
DECISIÓN N° 245,PRESUPUESTO DE LA JUNTA DEL ACUERDO DE CARTAGENA PARA EL AÑO 1989,27/12/1988,DEC245.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC245.doc,2,Decisiones
DECISIÓN N° 244,SUSTITUCIÓN DE LA DECISIÓN 169 SOBRE EMPRESAS MULTINACIONALES ANDINAS,27/12/1988,DEC244.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC244.doc,9,Decisiones
DECISIÓN N° 243,PUNTO INICIAL DE DESGRAVACIÓN DEL ECUADOR,27/12/1988,DEC243.doc,https://www.comunidadandina.org/DocOficialesFiles/decisiones/DEC243.doc,2,Decisiones
